videoId,textDisplay,cleanedData,likeCount,publishedAt,updatedAt,commentId
wUn05hdkhjM,I can&#39;t wait for this movie,i cant wait for this movie,0,2017-03-08T01:23:56Z,2017-03-08T01:23:56Z,UghAWFdAZUmeQngCoAEC
wUn05hdkhjM,Starlord&#39;s dad looks like my bus driver...,starlords dad looks like my bus driver,0,2017-03-07T14:56:42Z,2017-03-07T14:56:42Z,UghW8fT8WyimbngCoAEC
wUn05hdkhjM,Take off short films about the escape of the Rocket.,take off short films about the escape of the rocket,0,2017-03-07T05:05:51Z,2017-03-07T05:05:51Z,Ugjf09LhBq7SD3gCoAEC
wUn05hdkhjM,Marvel can you make a new video game called spider man and iron man vs the evilness of doom,marvel can you make a new video game called spider man and iron man vs the evilness of doom,0,2017-03-07T00:34:21Z,2017-03-07T00:34:21Z,Ugiup_FVv8l6f3gCoAEC
wUn05hdkhjM,YES!  They didn&#39;t use stupid looking CGI for Ego!  Well done!,yes  they didnt use stupid looking cgi for ego  well done,0,2017-03-06T23:32:53Z,2017-03-06T23:32:53Z,UggM_1NmqspV1ngCoAEC
wUn05hdkhjM,"I guess they aren&#39;t &quot;hooked on the feeling&quot; anymore, am I right?... I&#39;m sorry",i guess they arent hooked on the feeling anymore am i right im sorry,3,2017-03-06T14:39:36Z,2017-03-06T14:39:36Z,UggV7D0_r_IEHHgCoAEC
wUn05hdkhjM,Rockets CGI looks really damn good.,rockets cgi looks really damn good,0,2017-03-05T16:14:14Z,2017-03-05T16:14:14Z,UggFNU6AkUszO3gCoAEC
wUn05hdkhjM,"Hey Everyone, <br>Star Lord&#39;s Dad looks like Zeus to me!","hey everyone 
star lords dad looks like zeus to me",0,2017-03-05T10:06:42Z,2017-03-05T10:06:42Z,Ugil9ZjjtUyIxHgCoAEC
wUn05hdkhjM,"so hyped for this movie just from the soundtrack, live GOTG mixtape Vol 1",so hyped for this movie just from the soundtrack live gotg mixtape vol 1,2,2017-03-05T01:54:05Z,2017-03-05T01:54:05Z,UghPOO8h2pduA3gCoAEC
wUn05hdkhjM,The one I&#39;m more excited to see it&#39;s Nebula. I hope they give us more of the crazy sister-like relationship between her and Gamorra.,the one im more excited to see its nebula i hope they give us more of the crazy sisterlike relationship between her and gamorra,7,2017-03-05T00:08:16Z,2017-03-05T00:08:16Z,UgiO4JIDMDItc3gCoAEC
wUn05hdkhjM,"The &quot;family; not friends&quot; thing really has a Fast and Furious vibe, in my opinion.",the family not friends thing really has a fast and furious vibe in my opinion,0,2017-03-05T00:01:52Z,2017-03-05T00:01:52Z,Ugivhy9Gx3mgdHgCoAEC
wUn05hdkhjM,Just when you thought Amy Pond couldn&#39;t get any more sci-fi...or anymore fit,just when you thought amy pond couldnt get any more scifior anymore fit,0,2017-03-04T18:17:53Z,2017-03-04T18:17:53Z,UgjVxg9yzMHPwHgCoAEC
wUn05hdkhjM,"<a href=""http://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=0m33s"">0:33</a> when D.C. admits defeat",033 when dc admits defeat,2,2017-03-04T16:32:59Z,2017-03-04T16:32:59Z,Ugin-L-Y5zyv7XgCoAEC
wUn05hdkhjM,I like baby groot waving,i like baby groot waving,0,2017-03-04T14:08:47Z,2017-03-04T14:08:47Z,UggAwM9lFc-iungCoAEC
wUn05hdkhjM,Marvel ❤,marvel ,0,2017-03-04T14:04:15Z,2017-03-04T14:04:15Z,UgglgqbDkyboXXgCoAEC
wUn05hdkhjM,i really wanna know which variant of the Chain this is. The violins at high tempo paired with the song really works.,i really wanna know which variant of the chain this is the violins at high tempo paired with the song really works,0,2017-03-04T13:06:54Z,2017-03-04T13:06:54Z,Ugg6BSowN-unXHgCoAEC
wUn05hdkhjM,Jokes and more jokes. Absolutely nothing at stake. Why should I even see it?,jokes and more jokes absolutely nothing at stake why should i even see it,0,2017-03-04T11:51:18Z,2017-03-04T11:51:18Z,UgjHWmF8AWj963gCoAEC
wUn05hdkhjM,why is marvel calling this TRAILER 3 last time i check they had released a teaser trailer so where is TRAILER 1 &amp; 2,why is marvel calling this trailer 3 last time i check they had released a teaser trailer so where is trailer 1  2,0,2017-03-04T10:15:26Z,2017-03-04T10:15:26Z,Ugil2Mdy5oVRIngCoAEC
wUn05hdkhjM,I love even more now with Fleetwood Mac &lt;3,i love even more now with fleetwood mac 3,0,2017-03-04T09:22:18Z,2017-03-04T09:22:18Z,UgiGLBYt1UttD3gCoAEC
wUn05hdkhjM,"Hey Guys,<br><br>Did You see that clip from Avengers : Infinity War shooting. It showed Chris Pratt(Star-Lord) , Robert Downey Jr(Iron Man) and Tom Holland(Spider-Man). So I guess GUARDIANS OF THE GALAXY 2&#39;s Post Credit Scene Shows Iron Man and Spider-Man!(As a clip from Avengers:Infinity War!<br>","hey guys

did you see that clip from avengers  infinity war shooting it showed chris prattstarlord  robert downey jriron man and tom hollandspiderman so i guess guardians of the galaxy 2s post credit scene shows iron man and spidermanas a clip from avengersinfinity war
",0,2017-03-04T08:59:48Z,2017-03-05T01:46:00Z,UgjXyPhWJxIHW3gCoAEC
wUn05hdkhjM,Fleetwood Mac FTW,fleetwood mac ftw,0,2017-03-04T07:32:29Z,2017-03-04T07:32:29Z,Uggl-zKfB1QisHgCoAEC
wUn05hdkhjM,Groot looks so sad in this trailer,groot looks so sad in this trailer,0,2017-03-04T06:29:14Z,2017-03-04T06:29:14Z,UghJBmqscBiVuHgCoAEC
wUn05hdkhjM,I think kids have go to see this movie . 2 years old,i think kids have go to see this movie  2 years old,0,2017-03-04T06:24:18Z,2017-03-04T06:24:18Z,UgipQFpa7VedsXgCoAEC
wUn05hdkhjM,I think I saw his dad before !,i think i saw his dad before ,0,2017-03-04T05:53:16Z,2017-03-04T05:53:16Z,UgjwVoJQJhVRyHgCoAEC
wUn05hdkhjM,&quot;After all these years I&#39;ve found you&quot;<br>&quot;But who the heck are you?&quot;<br>&quot;I&#39;m your dad Peter!&quot;<br>- Ego and Peter Quill,"after all these years ive found you
but who the heck are you
im your dad peter
 ego and peter quill",0,2017-03-04T05:49:49Z,2017-03-04T05:49:49Z,UggY2t-NUUpd93gCoAEC
wUn05hdkhjM,I just want Guardians versus Avengers... just for one &quot;get to know you&quot; fight scene. They can be friends afterwards. That is all I want.,i just want guardians versus avengers just for one get to know you fight scene they can be friends afterwards that is all i want,0,2017-03-04T04:23:11Z,2017-03-04T04:23:11Z,UgizRxRueBICpngCoAEC
